"Type","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO","GO:0001819","positive regulation of cytokine production","106/2030","499/18870",3.65013873647145e-12,1.68299473741614e-09,1.24400274832456e-09,"RARA/THBS1/SEMA7A/PTGER4/BCL3/OAS1/RSAD2/ZC3HAV1/IRF1/IRF7/ISG15/STAT1/OAS3/CX3CL1/IFIH1/PRKD2/IL6/OAS2/RIPK2/IFI16/DHX58/EGR1/PELI1/ANXA1/MYD88/ZBTB20/LGALS9/DHX36/EIF2AK2/GATA6/PIK3R1/CD274/IDO1/BCL10/IL1A/GATA3/PTGS2/TRAF3/IFNL1/TICAM1/FZD5/SETD2/HLA-F/PDE4D/PANX1/F2RL1/RUNX1/F3/VTCN1/SERPINE1/IKBKE/TLR3/CYBA/JAK2/CD83/TRAF6/IL12A/RIPK1/TNF/PDE4B/CYP1B1/EREG/FOXP1/SIRT1/NR4A3/STING1/NLRP3/EPHB2/LAMTOR5/NOD2/ISL1/NOD1/TNFRSF14/CSF2/LTB/ARID5A/FERMT1/NAIP/NFATC4/GBP5/IL20RB/MIF/CLEC7A/ARRDC4/ADRA2A/ADAM8/IL18R1/TLR6/IL7/SPHK1/PRKCQ/CXCL17/IL15/IL33/TLR4/AGER/LTA/GATA4/CRLF2/TLR1/TRIM6/NR1H4/HEG1/ADORA2B/RORA/AFAP1L2",106
"GO","GO:0071219","cellular response to molecule of bacterial origin","63/2030","239/18870",8.69827306389164e-12,3.72410348178332e-09,2.75270912224962e-09,"RARA/ZC3H12A/IRAK2/NFKB1/CMPK2/NR1D1/NFKBIA/TNFAIP3/CX3CL1/CXCL3/TRIB1/IL6/RIPK2/CXCL8/MYD88/CXCL1/CXCL10/CCL2/CXCL2/CD274/CXCL11/BCL10/IL1A/TRIM5/LYN/ZFP36/TICAM1/FZD5/NFKBIZ/CASP7/SERPINE1/TSPO/JAK2/TRAF6/ANKRD1/TNF/PDE4B/PRKCE/AHR/PDCD4/PRDX2/NLRP3/EPHB2/NOD2/ASS1/MEF2C/CSF2/ARID5A/NOS3/GBP5/MIF/KMO/CSF3/CXCL9/TLR6/MRC1/ABCA1/TLR4/ADAMTS13/PDCD1LG2/TLR1/HDAC5/NR1H4",63
"GO","GO:0030522","intracellular receptor signaling pathway","82/2030","353/18870",9.58708992460105e-12,3.83100113387058e-09,2.831723613519e-09,"RARA/CYLD/OAS1/NR3C1/PIK3AP1/RSAD2/OASL/NR1D1/NFKBIA/PER1/TNFAIP3/IRF7/OAS3/IFIH1/NEDD4/RIPK2/DHX58/PELI1/PML/BMP2/ARID1A/MYD88/EIF2AK2/ANKRD17/NR1D2/PUM1/DDX60/AKR1C3/USP15/EP300/BIRC3/TICAM1/TRIM24/WBP2/NR4A1/SLC15A3/F2RL1/DCBLD2/NOP53/TLR3/GPATCH3/STRN3/JAK2/TRAF6/TNF/KLF2/NR2F1/NKX3-1/SIRT2/NR4A2/AHR/CITED2/FOXP1/SIRT1/NR4A3/STING1/NLRP3/RARB/NOD2/CALCOCO1/ISL1/PIM1/NOD1/NR3C2/NR5A2/ALOXE3/TRERF1/TKFC/PRKD1/GBP5/ZMIZ1/HNF4G/TLR6/DHRS3/TRIM31/TLR4/PTGIS/ESR1/TP63/CYP26A1/NR1H4/RORA",82
"GO","GO:1902105","regulation of leukocyte differentiation","76/2030","321/18870",2.07984035973726e-11,7.79160194766572e-09,5.75924215403561e-09,"RARA/MYC/INHBA/ZC3H12A/NEDD9/CSF1/IRF1/IRF7/FOS/KLF10/TRIB1/AMBRA1/RIPK2/ACTB/ANXA1/ARID1A/LGALS9/DUSP10/PIK3R1/RC3H1/GATA3/JUNB/TESC/IKZF3/SMAD7/IFNL1/LYN/CREB1/BCL6/IL15RA/NFKBIZ/RUNX1/VSIR/ZEB1/TLR3/CD83/TRAF6/ARID2/CCR1/RIPK1/TNF/IFNB1/PRDM1/TNFAIP6/SOCS1/MMP14/FOXP1/IL4I1/PRDX2/NLRP3/EGR3/ZFP36L1/FSTL3/LIF/BRAF/ZNF675/PCK1/LOXL3/RUNX3/PGLYRP2/SOX4/KITLG/ADAM8/TNFSF9/GLI2/ZMIZ1/IL7/CAMK4/CLDN18/IL15/HLX/ERFE/TLR4/PSG9/AGER/TMEM178A",76
"GO","GO:0010720","positive regulation of cell development","95/2030","444/18870",3.21563896948908e-11,1.11914952281324e-08,8.27230799487366e-09,"RARA/SEMA7A/NEDD9/CSF1/HES1/FOS/CX3CL1/KLF10/TRIB1/AMBRA1/IL6/RIPK2/ACTB/PLXNA2/ANXA1/BMP2/ARID1A/LGALS9/DHX36/DUSP10/SKIL/SPEN/MYRF/GATA3/TESC/SMAD7/LYN/CREB1/BCL6/IL15RA/TIAM2/EGR2/NFKBIZ/RUNX1/ZNF335/BDNF/EPHA4/VSIR/CDKL5/PDE3A/TSPO/CD83/TRAF6/ARID2/CCR1/RIPK1/TNF/NEFL/RASSF10/ZNF365/SIRT2/SOCS1/MMP14/IL4I1/NLRP3/EGR3/EPHB2/ZFP36L1/PLXNB2/VEGFC/FGF2/LIF/CUL7/PTPRZ1/BRAF/HAPLN3/PCK1/LRP2/RUNX3/CXCR4/PLXNB3/SOX4/KITLG/CLEC7A/SLIT2/ADAM8/TNFSF9/RFX3/GLI2/PLXNA3/ZMIZ1/RET/IL7/RELN/IL15/HLX/ACE/IL33/ADCY10/AGER/LTA/GJC2/NKX6-1/PTN/AMIGO1",95
"GO","GO:0019079","viral genome replication","42/2030","131/18870",3.36080937781752e-11,1.11914952281324e-08,8.27230799487366e-09,"OAS1/ZC3H12A/N4BP1/ZNFX1/RSAD2/OASL/ZC3HAV1/IFIT1/ISG15/OAS3/IFIH1/OAS2/IFI16/IFIT5/CCL5/TRIM38/MX1/CXCL8/EIF2AK2/EEF1A1/CCL2/SHFL/IFITM3/ISG20/IFITM2/IFITM1/IFNL3/BST2/TNF/IFI27/APOBEC3G/IFNB1/SLPI/LAMTOR5/NR5A2/HMGA2/GBP7/APOBEC3B/PROX1/ATG16L2/TRIM6/PRKN",42
"GO","GO:0070482","response to oxygen levels","79/2030","343/18870",3.59888578962859e-11,1.13535375910704e-08,8.39208326235275e-09,"MYC/THBS1/CD24/TMBIM6/FOS/EGR1/PML/BMP2/GATA6/PMAIP1/CREBBP/FOSL2/EDN1/IL1A/EP300/HSP90B1/PTGS2/PLK3/PGK1/CPEB2/EPHA4/CDKN1A/NOP53/NFE2L2/ANGPTL4/LPAR1/FOXO1/CD38/TNF/CLDN3/COL1A1/ZEB2/NKX3-1/SIRT2/PRKCE/NDRG1/CPEB4/NR4A2/MMP14/CITED2/SIRT1/ZFP36L1/EGLN3/VEGFC/LIF/ADM/TGFB2/CCDC115/PCK1/LOXL2/DIO3/CYP1A1/SLC2A1/CXCR4/UCP3/SOX4/SDHD/ADAM8/PIN1/CBL/VCAM1/FAS/ANGPT2/TEK/ACE/PTGIS/OXTR/DDR2/RYR2/UCP2/AQP1/ADSL/AGER/CASR/LTA/ANG/UCN3/RORA/TIGAR",79
"GO","GO:0071216","cellular response to biotic stimulus","66/2030","265/18870",4.24962354233639e-11,1.27361217563822e-08,9.41403446825993e-09,"RARA/ZC3H12A/IRAK2/NFKB1/CMPK2/NR1D1/NFKBIA/TNFAIP3/CX3CL1/CXCL3/TRIB1/IL6/RIPK2/CXCL8/MYD88/CXCL1/CXCL10/CCL2/CXCL2/CD274/CXCL11/BCL10/IL1A/TRIM5/TXNIP/LYN/ZFP36/TICAM1/FZD5/NFKBIZ/CASP7/SERPINE1/TSPO/JAK2/TRAF6/ANKRD1/TNF/PDE4B/PRKCE/AHR/PDCD4/PRDX2/NLRP3/EPHB2/NOD2/ASS1/MEF2C/CSF2/ARID5A/NOS3/GBP5/MIF/CLEC7A/KMO/CSF3/CXCL9/TLR6/MRC1/ABCA1/TLR4/ADAMTS13/PDCD1LG2/TLR1/HDAC5/NR1H4/TIGAR",66
"GO","GO:0071222","cellular response to lipopolysaccharide","59/2030","226/18870",6.0574884896623e-11,1.6542518403729e-08,1.22275714242831e-08,"RARA/ZC3H12A/IRAK2/NFKB1/CMPK2/NR1D1/NFKBIA/TNFAIP3/CX3CL1/CXCL3/TRIB1/IL6/RIPK2/CXCL8/MYD88/CXCL1/CXCL10/CCL2/CXCL2/CD274/CXCL11/BCL10/IL1A/TRIM5/LYN/ZFP36/TICAM1/NFKBIZ/CASP7/SERPINE1/TSPO/JAK2/TRAF6/ANKRD1/TNF/PDE4B/PRKCE/PDCD4/PRDX2/NLRP3/EPHB2/NOD2/ASS1/MEF2C/CSF2/ARID5A/NOS3/GBP5/MIF/KMO/CSF3/CXCL9/MRC1/ABCA1/TLR4/ADAMTS13/PDCD1LG2/HDAC5/NR1H4",59
"GO","GO:0060562","epithelial tube morphogenesis","77/2030","334/18870",6.07166174311042e-11,1.6542518403729e-08,1.22275714242831e-08,"RARA/MYC/RHOB/NR3C1/CSF1/HES1/BRD2/DLC1/PRKD2/EPHA2/PML/BMP2/CXCL10/SOX9/GRHL2/EDN1/KDM5B/BCL10/GATA3/STARD13/SPRY2/EXT1/GRHL3/SETD2/EFNB2/EYA1/PFN1/EPHA4/C2CD3/TNC/TMED2/GNA13/MAGED1/TRAF6/TNF/NKX3-1/COL4A1/MMP14/SIX4/CITED2/FOXP1/GZF1/PLXNB2/SPRY1/FGF2/PRICKLE1/ADM/MEF2C/TGFB2/LRP2/WNT2B/TBX3/CXCR4/NFATC4/SLIT2/PODXL/GLI2/SIX1/SALL4/RET/DCHS1/PBX1/TBX20/KIF26B/GBX2/PTCH1/RNF207/TBX6/MTSS1/RYR2/ESR1/PROX1/VANGL2/CASR/GATA4/HOXA5/FGF1",77
"GO","GO:0022409","positive regulation of cell-cell adhesion","75/2030","322/18870",6.44328574685743e-11,1.67917629420276e-08,1.24118030702622e-08,"RARA/ABL2/CD24/HES1/PLAUR/CX3CL1/MAP3K8/AMBRA1/IL6/RIPK2/ACTB/ANXA1/CCL5/ARID1A/LGALS9/DUSP10/CCL2/TJP1/CD274/CD44/BCL10/IL1A/GATA3/SMAD7/LYN/ADAM19/NFAT5/BCL6/EFNB2/NFKBIZ/RUNX1/VTCN1/VSIR/JAK2/CD83/TRAF6/ARID2/IL12A/TNF/GCNT1/SOCS1/HAS2/CITED2/NR4A3/IL4I1/NLRP3/EGR3/TNFSF13B/NOD2/FSTL3/TNFRSF14/CHST4/PCK1/RUNX3/ANK3/SOX4/ALOX5/KITLG/PODXL/ADAM8/TNFSF9/GLI2/VCAM1/ZMIZ1/FGB/IL7/KIF26B/PRKCQ/IL15/HLX/HLA-DOB/SPTA1/AGER/PDCD1LG2/CHST2",75
"GO","GO:0002696","positive regulation of leukocyte activation","84/2030","380/18870",8.08321223498195e-11,2.01878225568674e-08,1.49220352179996e-08,"RARA/THBS1/ABL2/CD24/HES1/MAP3K8/AMBRA1/IL6/RIPK2/PELI1/ACTB/ANXA1/CCL5/ARID1A/MYD88/LGALS9/DUSP10/CCL2/CD274/BCL10/IL1A/RIF1/GATA3/LYN/TICAM1/BCL6/EFNB2/HLA-F/IL15RA/F2RL1/NFKBIZ/NFATC2/RUNX1/ZNF335/VTCN1/VSIR/CDKN1A/JAK2/CD83/TRAF6/ARID2/IL12A/CD38/TNF/ITGAM/SOCS1/MMP14/NR4A3/IL4I1/NLRP3/EGR3/EPHB2/TNFSF13B/NOD2/MEF2C/TNFRSF14/PCK1/IRS2/RUNX3/SOX4/KITLG/MIF/CLEC7A/ADAM8/TNFSF9/GLI2/VCAM1/ZMIZ1/TLR6/IL7/PRKCQ/IL15/HLX/HLA-DOB/IL33/TLR4/HAVCR1/SPTA1/AGER/PDCD1LG2/KMT5C/PRLR/CRLF2/ADORA2B",84
"GO","GO:0007249","canonical NF-kappaB signal transduction","71/2030","300/18870",9.68252844682757e-11,2.32148302041138e-08,1.71594788348199e-08,"BCL3/ZC3H12A/TNFSF10/PLK2/IRAK2/MAP3K14/NFKB1/NR1D1/NFKBIA/PER1/TNFAIP3/TRIM22/STAT1/CX3CL1/RIPK2/PELI1/TRIM21/IFIT5/TRAF1/TRIM38/MYD88/LGALS9/DHX36/ANKRD17/REL/RELB/EDN1/BCL10/IL1A/NFKB2/OPTN/TRIM5/SNIP1/OTUD7B/TRAF3/FBXW11/BIRC3/TICAM1/SECTM1/F2RL1/MIER1/IKBKE/TLR3/LPAR1/TRAF6/RIPK1/BST2/TNF/BRD4/SLC20A1/PRKCE/SIRT1/APOL3/LAMTOR5/NOD2/NOD1/PLEKHG5/LTB/ZNF675/PELI2/GBP7/PRKD1/CLEC7A/TLR6/RFPL1/TLR4/ESR1/TRIM6/NR1H4/PRKN/RORA",71
"GO","GO:0002218","activation of innate immune response","67/2030","276/18870",1.01222528026345e-10,2.33356858842273e-08,1.72488105450561e-08,"CYLD/OAS1/IRAK2/ZNFX1/PIK3AP1/RSAD2/OASL/NR1D1/NFKBIA/TNFAIP3/IRF1/IRF7/OAS3/IFIH1/RIPK2/IFI16/DHX58/PELI1/IFI35/MYD88/EIF2AK2/ANKRD17/PUM1/CREBBP/PIK3R1/DDX60/BCL10/USP15/TRIM5/ZBP1/EP300/TRAF3/OTUD4/LYN/BIRC3/TICAM1/SLC15A3/F2RL1/NFKBIZ/FOSL1/NMI/NOP53/TLR3/CYBA/GPATCH3/TRAF6/TNF/SIRT2/PRKCE/STING1/NLRP3/NOD2/NOD1/TKFC/NAIP/PRKD1/GBP5/CLEC7A/TLR6/BPIFB1/TRIM31/TLR4/ESR1/PAK3/TLR1/NR1H4/COLEC10",67
"GO","GO:0036293","response to decreased oxygen levels","73/2030","315/18870",1.47989517584282e-10,3.28536729037106e-08,2.42841278562278e-08,"MYC/THBS1/CD24/TMBIM6/FOS/EGR1/PML/BMP2/GATA6/PMAIP1/CREBBP/FOSL2/EDN1/IL1A/EP300/HSP90B1/PTGS2/PLK3/PGK1/CPEB2/EPHA4/NOP53/NFE2L2/ANGPTL4/CD38/TNF/CLDN3/ZEB2/NKX3-1/SIRT2/PRKCE/NDRG1/CPEB4/NR4A2/MMP14/CITED2/SIRT1/ZFP36L1/EGLN3/VEGFC/LIF/ADM/TGFB2/PCK1/LOXL2/DIO3/CYP1A1/SLC2A1/CXCR4/UCP3/SOX4/SDHD/ADAM8/PIN1/CBL/VCAM1/ANGPT2/TEK/ACE/PTGIS/OXTR/DDR2/RYR2/UCP2/AQP1/ADSL/AGER/CASR/LTA/ANG/UCN3/RORA/TIGAR",73
"GO","GO:0002758","innate immune response-activating signaling pathway","63/2030","255/18870",1.67916725415778e-10,3.59461732907919e-08,2.65699811005643e-08,"CYLD/OAS1/IRAK2/PIK3AP1/RSAD2/OASL/NR1D1/NFKBIA/TNFAIP3/IRF1/IRF7/OAS3/IFIH1/RIPK2/DHX58/PELI1/IFI35/MYD88/EIF2AK2/ANKRD17/PUM1/CREBBP/PIK3R1/DDX60/BCL10/USP15/EP300/TRAF3/OTUD4/LYN/BIRC3/TICAM1/SLC15A3/F2RL1/NFKBIZ/FOSL1/NMI/NOP53/TLR3/CYBA/GPATCH3/TRAF6/TNF/SIRT2/PRKCE/STING1/NLRP3/NOD2/NOD1/TKFC/NAIP/PRKD1/GBP5/CLEC7A/TLR6/BPIFB1/TRIM31/TLR4/ESR1/PAK3/TLR1/NR1H4/COLEC10",63
