"Type","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO","GO:0061448","connective tissue development","57/1618","285/18870",1.15694392532417e-09,6.13075103701326e-07,4.58791925985011e-07,"PDGFB/CCN2/RARA/CCN1/SLC25A25/SLC26A2/SMAD7/CHSY1/FGF2/ARID5B/EGR1/WNT7A/SOX9/RUNX1/ARID5A/RARB/STC1/NR1H4/EDN1/ARRDC3/OSR2/CSF1/PKDCC/HOXA3/MEF2C/KLF7/HOXA5/RASAL2/FOSL2/RORC/FOXC2/PBXIP1/THBS3/TRPS1/RUNX2/HYAL1/HMGA2/BMP2/NFATC2/RUNX3/WNT2B/NOG/COL11A2/MEF2D/PTHLH/COL1A1/SCIN/CASR/FGFR3/SIRT1/CHST11/DLX2/EXT1/GATA3/ACTA2/SOX6/SNAI1",57
"GO","GO:0045785","positive regulation of cell adhesion","82/1618","482/18870",1.29716736761871e-09,6.30099048820787e-07,4.7153171679052e-07,"PDGFB/RARA/CCN1/BCL6/LIF/SMAD7/EGR3/CITED2/ABL2/RUNX1/CCL2/SOX4/PRKD2/NEDD9/AMBRA1/ITPKB/DUSP10/IL1A/FERMT1/CD24/CSF1/TNFRSF14/IL1B/FLCN/NFKBIZ/AGR2/NLRP3/ADAM8/VNN1/ZFHX3/FOXC2/CD274/ZMIZ1/EFNB2/RIPK2/FRMD5/NFAT5/MAP3K8/LAMA2/GCNT1/HYAL1/ANK3/ANXA1/FSTL3/ALOX5/TRIOBP/PODXL/COL16A1/SHH/VTCN1/AGER/RREB1/RUNX3/NR4A3/ACTB/CHST4/NOD2/SOCS1/ARID2/COL8A1/VSIR/PRKCQ/BCL10/CSPG5/IL4I1/IL6/EFEMP2/ARID1A/PLAUR/IL12A/LGALS9/GATA3/ADAM19/ITGA5/FBLN2/PRKCE/PTPN22/GLI2/EPHA4/HAS2/RSU1/TJP1",82
"GO","GO:1903706","regulation of hemopoiesis","73/1618","417/18870",2.99302644941898e-09,1.34202701335871e-06,1.00429972521395e-06,"RARA/MYC/BCL6/LIF/SMAD7/FOS/JUNB/EGR3/INHBA/KLF10/BRPF1/RUNX1/SOX4/ZC3H12A/FOXP1/NEDD9/AMBRA1/ITPKB/DUSP10/CSF1/MEF2C/TCIM/HOXA5/NFKBIZ/BRD1/NLRP3/ADAM8/RC3H1/VNN1/RIPK1/ZMIZ1/RIPK2/ZBTB46/IL15RA/KAT6A/ANXA1/FSTL3/H4C14/SHH/TNFAIP6/AGER/RUNX3/MYB/L3MBTL1/ACTB/NFKBIA/SOCS1/CNOT4/PIK3R1/ZFP36L1/PRDM1/ARID2/TMEM178A/MMP14/VSIR/IL4I1/MEIS1/ACVR2A/SCIN/ZNF675/CYP26B1/IRF1/TRIB1/ARID1A/ERFE/INHA/LGALS9/GATA3/IKZF3/TLR3/GLI2/STAT1/TLR4",73
"GO","GO:0009615","response to virus","75/1618","436/18870",4.02710476413699e-09,1.67671383358247e-06,1.25476106335216e-06,"CXCR4/FOSL1/F2RL1/TRIM31/POLR3H/IRF2/PML/ZC3H12A/ODC1/RTP4/TRIM38/MST1R/MYD88/SAMHD1/IL1B/DHX36/DHX58/STAT2/SLFN13/TRIM21/NLRP3/MOV10/MAP3K14/GPATCH3/RSAD2/USP18/NFKB1/APOBEC3B/MX2/GBP1/HYAL1/HMGA2/TRIM26/GBP2/ZC3HAV1/IFIT1/SETD2/PMAIP1/NT5C3A/PARP9/MORC3/APOBEC3G/IKBKE/NLRC5/MX1/STMN1/VWCE/IFIT5/NPC2/NMI/TNFAIP3/TRAF3/IL6/IRF1/EXOSC5/IL12A/SENP7/EXT1/TKFC/DDX60L/LGALS9/GATA3/ISG20/SIRT2/EIF2AK2/IFIT1B/STING1/TLR3/TRIM22/ACTA2/PTPN22/STAT1/OAS3/TICAM1/IFI27",75
"GO","GO:0050678","regulation of epithelial cell proliferation","71/1618","407/18870",5.73390350554136e-09,2.22819490225337e-06,1.66745937733077e-06,"PDGFB/MYC/THBS1/F3/EGR3/FGF2/WNT7A/SRSF6/SOX9/CCL2/SIX4/PRKD2/IQGAP3/KLF9/PTCH1/DUSP10/OSR2/SGPP2/MEF2C/FUT2/FRS2/TCF7L2/FGFR1/SIX1/FLCN/WDR77/HOXA5/RICTOR/MTSS1/EFNB2/EREG/RUNX2/HYAL1/WDR13/NKX3-1/ALOX5/EYA1/SPINK1/KDM5B/SHH/RREB1/RUNX3/NR4A3/NR1D1/RGCC/NOD2/NOG/PLXNB3/ZFP36L1/ODAM/CDKN1C/POLD4/PRKD1/TRIM24/CDKN2B/TNFAIP3/JCAD/APOE/FGF1/SIRT1/TP63/OVOL1/IL12A/AR/FGFBP1/GATA3/ANG/STAT1/IRS2/HAS2/NR4A1",71
"GO","GO:0007249","canonical NF-kappaB signal transduction","57/1618","300/18870",8.26704558670137e-09,3.01178804530514e-06,2.25385769153227e-06,"SLC20A1/F2RL1/BIRC3/NR1H4/EDN1/ZC3H12A/PELI1/TNFSF10/PLK2/IRAK2/TRIM38/IL1A/MYD88/SNIP1/IL1B/DHX36/TRIM21/RIPK1/MAP3K14/NFKB2/RIPK2/NFKB1/NOD1/PELI2/BRD4/RELB/ALPK1/NR1D1/NFKBIA/OPTN/NOD2/PLEKHG5/PER1/IKBKE/OTUD7B/APOL3/ANKRD17/REL/BCL10/FBXW11/IFIT5/PRKD1/TNFAIP3/ZNF675/TRAF3/SIRT1/SECTM1/TRAF1/LGALS9/PLCG2/PRKCE/TLR3/TRIM22/MIER1/STAT1/TLR4/TICAM1",57
"GO","GO:0031667","response to nutrient levels","81/1618","495/18870",1.02215919838858e-08,3.50480351023944e-06,2.622803540633e-06,"SLC2A1/CDKN1A/RARA/SLC25A25/GDF15/CHSY1/PDK4/FOS/CPEB4/NUAK1/KLF10/NUAK2/JMY/CREBBP/NFE2L2/STC1/NR1H4/PLD1/ZC3H12A/MN1/MBD1/PIM1/AMBRA1/AKR1C3/IL1A/EP300/FLCN/GIPR/MAP3K5/RASAL2/NFKBIZ/SESN1/LRAT/RICTOR/IL15RA/GDAP1/ADM/TNRC6A/UCP2/RUNX2/ADRB2/CASTOR1/CYP1A1/FOXO4/BMT2/SPINK1/ATF3/BHLHA15/PMAIP1/WNT2B/MLXIPL/NOD2/TSPO/MFSD2A/SLC22A3/ABCA1/LRRK2/BCAS3/OGG1/BCL10/TSSK3/ADSL/PRKD1/COL1A1/TRIM24/CDKN2B/UCP3/UCN3/CYP26B1/UCN2/CASR/APOE/SIRT1/FAS/ACE/ASS1/SIRT2/PTGS2/EIF2AK2/STAT1/SSTR2",81
"GO","GO:0002064","epithelial cell development","45/1618","214/18870",1.30833210854039e-08,4.23681547815662e-06,3.17060132034583e-06,"PDGFB/CXCR4/CDKN1A/RARA/EPHA2/F2RL1/GRHL2/WNT7A/FRMD6/SOX9/RARB/STC1/TIGAR/IL1A/MYD88/EXPH5/IL1B/FRS2/HOXA5/FOSL2/VEZF1/FOXC2/CLDN3/ICAM1/PODXL/RFX3/RAPGEF3/NKX6-1/ARID4B/BHLHA15/HOXA13/SDC1/TJP2/PRDM1/HOXB13/PDE4D/CDSN/FZD5/SLC9A4/TP63/AR/FNDC3A/ACTA2/ABCA12/TJP1",45
"GO","GO:0048705","skeletal system morphogenesis","47/1618","230/18870",1.61970270930208e-08,4.96907741711674e-06,3.71858616473563e-06,"CCN2/RARA/CSRNP1/GRHL2/CHSY1/ARID5B/WNT7A/CITED2/NDST1/SOX9/RARB/DHRS3/SIX4/STC1/HOXB5/ACVR2B/OSR2/HOXA3/MEF2C/FGFR1/SIX1/ZFAND5/HOXA5/FOSL2/FOXC2/THBS3/RUNX2/HYAL1/ALX1/ATG9B/EYA1/SETD2/NOG/TIPARP/MMP14/SP5/MEF2D/COL1A1/CYP26B1/HOXC9/FGFR3/CHST11/MMP16/DLX2/EXT1/SOX6/HAS2",47
"GO","GO:0010720","positive regulation of cell development","74/1618","444/18870",2.03348694769741e-08,5.65278596493684e-06,4.23023630282314e-06,"CXCR4/RARA/SKIL/SEMA7A/BCL6/LIF/SMAD7/FOS/EGR3/FGF2/KLF10/RUNX1/EPHB2/SOX4/RASSF10/EGR2/NEDD9/AMBRA1/ITPKB/DUSP10/PLXNB2/BDNF/SPEN/CSF1/IL1B/DHX36/NFKBIZ/CUL7/NLRP3/ADAM8/VNN1/RIPK1/ZMIZ1/RIPK2/ZBTB46/IL15RA/PDE3A/NEFL/ZNF335/ANXA1/MYRF/BMP2/SHH/RFX3/AGER/CDKL5/NKX6-1/RUNX3/MYB/ACTB/PLXNB3/TSPO/SOCS1/ZFP36L1/RELN/GPER1/ARID2/MMP14/GJC2/VSIR/PLXNA3/IL4I1/TNFRSF1B/IL6/ZNF365/TRIB1/ARID1A/ACE/LGALS9/GATA3/SIRT2/PLXNA2/GLI2/EPHA4",74
"GO","GO:0071219","cellular response to molecule of bacterial origin","48/1618","239/18870",2.03651578767668e-08,5.65278596493684e-06,4.23023630282314e-06,"RARA/ANKRD1/ARID5A/CCL2/EPHB2/SERPINE1/NR1H4/ZC3H12A/IRAK2/CXCL8/IRF8/PDCD4/IL1A/MYD88/IL1B/MEF2C/NFKBIZ/HDAC5/NLRP3/CD274/RIPK2/NFKB1/CMPK2/AHR/GBP2/CXCL2/CXCL1/NR1D1/CSF2/NFKBIA/NOD2/TSPO/ABCA1/CXCL3/BCL10/TNFAIP3/TNFRSF1B/FZD5/IL6/TRIB1/ASS1/CASP7/ADAMTS13/PLCG2/PRKCE/PTPN22/TLR4/TICAM1",48
"GO","GO:0050867","positive regulation of cell activation","68/1618","396/18870",2.29679351687639e-08,6.08545882266931e-06,4.55402504016066e-06,"CDKN1A/RARA/THBS1/BCL6/F2RL1/EGR3/ADORA2B/ABL2/RUNX1/CCL2/EPHB2/SOX4/PELI1/AMBRA1/ITPKB/DUSP10/KMT5C/IL1A/MYD88/CD24/TNFRSF14/IL1B/MEF2C/NFKBIZ/NLRP3/ADAM8/VNN1/CD274/ZMIZ1/EFNB2/RIPK2/IL15RA/RIF1/MAP3K8/ZNF335/ANXA1/NFATC2/SHH/VTCN1/AGER/RUNX3/MYB/NR4A3/ACTB/NOD2/SOCS1/ARID2/LRRK2/DDR2/MMP14/VSIR/PRKCQ/BCL10/IL4I1/HLA-F/HAVCR1/IL6/ARID1A/IL12A/LGALS9/GATA3/ACTA2/PTPN22/GLI2/ITGAM/IRS2/TLR4/TICAM1",68
"GO","GO:0035988","chondrocyte proliferation","13/1618","25/18870",2.51441983014473e-08,6.3306734431973e-06,4.73753027035595e-06,"CCN2/SLC26A2/SMAD7/SOX9/STC1/FOSL2/PBXIP1/HMGA2/DDR2/MMP14/FGFR3/MMP16/EXT1",13
"GO","GO:0071222","cellular response to lipopolysaccharide","46/1618","226/18870",2.60655622982905e-08,6.3306734431973e-06,4.73753027035595e-06,"RARA/ANKRD1/ARID5A/CCL2/EPHB2/SERPINE1/NR1H4/ZC3H12A/IRAK2/CXCL8/IRF8/PDCD4/IL1A/MYD88/IL1B/MEF2C/NFKBIZ/HDAC5/NLRP3/CD274/RIPK2/NFKB1/CMPK2/GBP2/CXCL2/CXCL1/NR1D1/CSF2/NFKBIA/NOD2/TSPO/ABCA1/CXCL3/BCL10/TNFAIP3/TNFRSF1B/IL6/TRIB1/ASS1/CASP7/ADAMTS13/PLCG2/PRKCE/PTPN22/TLR4/TICAM1",46
"GO","GO:0060485","mesenchyme development","59/1618","327/18870",3.22671769100109e-08,7.52341496833815e-06,5.63011288905623e-06,"MYC/SEMA7A/SMAD7/EFNA1/GBX2/POLR1B/CITED2/SOX9/KBTBD8/SIX4/SOX4/EDN1/SPRY2/PDCD4/ERBB3/IL1B/SEMA6A/MEF2C/TCF7L2/FGFR1/SIX1/AKNA/BAMBI/APC/HOXA5/CUL7/ADAM8/FOXC2/SPRY1/ISL1/SEMA4G/NRG1/ALX1/SEMA3A/MESP1/HMGA2/BMP2/SHH/ERBB4/RGCC/NOG/ZFP36L1/WNT10A/PRICKLE1/COL1A1/TBX20/MCRIP1/IL6/RBM24/CRELD1/DCHS1/EXT1/GATA3/SEMA3G/ACTA2/STAT1/SNAI1/EPHA4/HAS2",59
"GO","GO:0002221","pattern recognition receptor signaling pathway","47/1618","236/18870",3.74296464326215e-08,8.03992726939335e-06,6.01664248708654e-06,"FOSL1/F2RL1/TRIM31/BIRC3/NR1H4/PELI1/IRAK2/MYD88/DHX58/PUM1/NOP53/NFKBIZ/NLRP3/GPATCH3/PIK3AP1/RIPK2/RSAD2/NOD1/OTUD4/GBP2/ALPK1/COLEC10/USP15/NR1D1/NFKBIA/NOD2/PIK3R1/ANKRD17/BCL10/PRKD1/NMI/TNFAIP3/TRAF3/IRF1/TKFC/SIRT2/PLCG2/PRKCE/EIF2AK2/STING1/TLR3/PTPN22/CYBA/SLC15A3/OAS3/TLR4/TICAM1",47
"GO","GO:0051216","cartilage development","43/1618","207/18870",3.97326035705881e-08,8.03992726939335e-06,6.01664248708654e-06,"CCN2/RARA/CCN1/SLC26A2/SMAD7/CHSY1/FGF2/WNT7A/SOX9/RUNX1/ARID5A/RARB/STC1/EDN1/OSR2/PKDCC/HOXA3/MEF2C/HOXA5/FOSL2/PBXIP1/THBS3/TRPS1/RUNX2/HYAL1/HMGA2/BMP2/NFATC2/RUNX3/WNT2B/NOG/COL11A2/MEF2D/PTHLH/COL1A1/SCIN/FGFR3/CHST11/DLX2/EXT1/GATA3/SOX6/SNAI1",43
"GO","GO:0002720","positive regulation of cytokine production involved in immune response","24/1618","81/18870",3.99985642877695e-08,8.03992726939335e-06,6.01664248708654e-06,"SEMA7A/F2RL1/ARID5A/MYD88/PANX1/TNFRSF14/IL1B/DHX36/NLRP3/RIPK2/RSAD2/NOD1/NR4A3/NOD2/BCL10/HLA-F/FZD5/IL6/SIRT1/GATA3/PLCG2/TLR3/TLR4/TICAM1",24
"GO","GO:1902105","regulation of leukocyte differentiation","58/1618","321/18870",3.99996381561858e-08,8.03992726939335e-06,6.01664248708654e-06,"RARA/MYC/BCL6/LIF/SMAD7/FOS/JUNB/EGR3/INHBA/KLF10/RUNX1/SOX4/ZC3H12A/FOXP1/NEDD9/AMBRA1/ITPKB/DUSP10/CSF1/NFKBIZ/NLRP3/ADAM8/RC3H1/VNN1/RIPK1/ZMIZ1/RIPK2/ZBTB46/IL15RA/ANXA1/FSTL3/SHH/TNFAIP6/AGER/RUNX3/ACTB/SOCS1/PIK3R1/ZFP36L1/PRDM1/ARID2/TMEM178A/MMP14/VSIR/IL4I1/ZNF675/CYP26B1/IRF1/TRIB1/ARID1A/ERFE/INHA/LGALS9/GATA3/IKZF3/TLR3/GLI2/TLR4",58
"GO","GO:0001666","response to hypoxia","55/1618","298/18870",4.24936197929107e-08,8.25651032576255e-06,6.17872141830954e-06,"SLC2A1/CXCR4/MYC/THBS1/PLK3/LIF/FOS/EGR1/ANGPTL4/CITED2/PML/CREBBP/NFE2L2/STC1/SOX4/EDN1/GATA6/TIGAR/IL1A/EP300/CD24/NOP53/FOSL2/ADAM8/DIO3/ADM/NR4A2/UCP2/CLDN3/NKX3-1/BMP2/CYP1A1/AGER/MYB/PMAIP1/EGLN3/RGCC/NDRG1/ZFP36L1/DDR2/MMP14/PGK1/ADSL/UCP3/UCN3/CASR/SIRT1/ACE/ANG/SIRT2/PTGS2/PRKCE/PTGIS/EPHA4/TMBIM6",55
"GO","GO:0036293","response to decreased oxygen levels","57/1618","315/18870",4.95743821440725e-08,9.32158301670318e-06,6.97576365382127e-06,"SLC2A1/CXCR4/MYC/THBS1/PLK3/LIF/FOS/CPEB4/EGR1/ANGPTL4/CITED2/PML/CREBBP/NFE2L2/STC1/SOX4/EDN1/GATA6/TIGAR/IL1A/EP300/CD24/NOP53/FOSL2/ADAM8/DIO3/ADM/NR4A2/UCP2/CLDN3/NKX3-1/BMP2/CYP1A1/AGER/MYB/PMAIP1/EGLN3/RGCC/NDRG1/ZFP36L1/DDR2/MMP14/PGK1/ADSL/UCP3/UCN3/CASR/SIRT1/ACE/ANG/SIRT2/PTGS2/PRKCE/PTGIS/OXTR/EPHA4/TMBIM6",57
"GO","GO:0002696","positive regulation of leukocyte activation","65/1618","380/18870",5.43676782408198e-08,9.90341238955433e-06,7.41117298124859e-06,"CDKN1A/RARA/THBS1/BCL6/F2RL1/EGR3/ADORA2B/ABL2/RUNX1/CCL2/EPHB2/SOX4/PELI1/AMBRA1/ITPKB/DUSP10/KMT5C/IL1A/MYD88/CD24/TNFRSF14/IL1B/MEF2C/NFKBIZ/NLRP3/ADAM8/VNN1/CD274/ZMIZ1/EFNB2/RIPK2/IL15RA/RIF1/MAP3K8/ZNF335/ANXA1/NFATC2/SHH/VTCN1/AGER/RUNX3/NR4A3/ACTB/NOD2/SOCS1/ARID2/LRRK2/MMP14/VSIR/PRKCQ/BCL10/IL4I1/HLA-F/HAVCR1/IL6/ARID1A/IL12A/LGALS9/GATA3/PTPN22/GLI2/ITGAM/IRS2/TLR4/TICAM1",65
"GO","GO:0002753","cytosolic pattern recognition receptor signaling pathway","34/1618","146/18870",5.73301714719002e-08,1.01265930154456e-05,7.57818917319153e-06,"F2RL1/TRIM31/BIRC3/NR1H4/PELI1/MYD88/DHX58/PUM1/NOP53/NLRP3/GPATCH3/PIK3AP1/RIPK2/RSAD2/NOD1/GBP2/ALPK1/USP15/NFKBIA/NOD2/ANKRD17/PRKD1/TNFAIP3/TKFC/SIRT2/PLCG2/EIF2AK2/STING1/TLR3/PTPN22/SLC15A3/OAS3/TLR4/TICAM1",34
"GO","GO:0002758","innate immune response-activating signaling pathway","49/1618","255/18870",6.30043088912938e-08,1.08015328390398e-05,8.08327727695113e-06,"FOSL1/F2RL1/TRIM31/CREBBP/BIRC3/NR1H4/PELI1/IRAK2/MYD88/EP300/DHX58/PUM1/NOP53/NFKBIZ/NLRP3/GPATCH3/PIK3AP1/RIPK2/RSAD2/NOD1/OTUD4/GBP2/ALPK1/COLEC10/USP15/NR1D1/NFKBIA/NOD2/PIK3R1/ANKRD17/BCL10/PRKD1/NMI/TNFAIP3/TRAF3/IRF1/TKFC/SIRT2/PLCG2/PRKCE/EIF2AK2/STING1/TLR3/PTPN22/CYBA/SLC15A3/OAS3/TLR4/TICAM1",49
"GO","GO:0070482","response to oxygen levels","60/1618","343/18870",7.80448962750816e-08,1.299782001107e-05,9.72685865154701e-06,"SLC2A1/CXCR4/CDKN1A/MYC/THBS1/PLK3/LIF/FOS/CPEB4/EGR1/ANGPTL4/CITED2/PML/CREBBP/NFE2L2/STC1/SOX4/EDN1/GATA6/TIGAR/IL1A/EP300/CD24/NOP53/FOSL2/ADAM8/DIO3/ADM/NR4A2/UCP2/CLDN3/NKX3-1/BMP2/CYP1A1/AGER/MYB/PMAIP1/EGLN3/RGCC/NDRG1/ZFP36L1/DDR2/MMP14/PGK1/ADSL/COL1A1/UCP3/UCN3/CASR/SIRT1/FAS/ACE/ANG/SIRT2/PTGS2/PRKCE/PTGIS/OXTR/EPHA4/TMBIM6",60
